CR,Count,AC,Str Save Mod,Dex Save Mod,Con Save Mod,Int Save Mod,Wis Save Mod,Chr Save Mod
0,77,11.7,-1.53,1.03,0.16,-2.19,0.56,-1.49
1/8,47,12.45,-0.38,1.36,0.51,-1.87,0.06,-1.36
1/4,98,12.17,0.38,1.16,0.83,-1.92,-0.04,-1.73
1/2,95,12.78,0.45,1.12,1.21,-1.62,0,-1.53
1,110,13.47,0.9,1.8,1.4,-0.88,0.58,-0.25
2,173,13.96,1.68,1.43,1.81,-0.72,0.8,-0.23
3,121,14.33,2.41,1.74,2.26,-0.55,0.91,-0.04
4,83,14.47,2.11,1.9,2.7,0.24,1.51,0.96
5,111,15.06,2.95,2.05,3.37,0.18,1.87,0.7
6,55,15.33,2.75,1.6,3.22,1.13,2.29,1.15
7,50,15.78,3.06,2.6,3.56,0.5,2.2,1.48
8,54,15.3,3.61,2.02,4.22,0.3,2.48,1.19
9,45,16.4,3.91,2.42,5.47,2.04,3.87,3.04
10,37,16.51,3.84,2.51,5.78,2.73,4.62,2.59
11,30,16.63,4.8,3.13,6.03,1.73,4.6,3.3
12,20,16.8,4.85,2.45,5.25,2.4,4.9,3.45
13,26,16.65,4.92,2.85,7,4.46,5.27,5.73
14,18,17.17,5.06,3.28,7.94,2.89,6.06,4.94
15,15,17.87,5.6,4.53,6.6,2.27,5.33,5.87
16,18,18.44,6.56,4.67,7.22,1.5,6.67,5.22
17,12,18.67,5.83,5.58,8.42,5.5,8.58,7.83
18,10,18.5,5,4.1,9.8,4.6,8,7.7
19,6,18.5,7.5,5.67,9,4.83,7,9
20,7,18.14,7.86,5,12.43,0.86,7.57,7.29
21,11,19.18,7,7.18,11.64,6.73,11.27,8.27
22,8,19.38,6,4.88,11.12,7.75,10.75,9
23,15,19.87,8.67,6.8,12.33,6,10.2,8.07
24,6,20.83,9.67,7,13,5.5,11.5,11.67
25,6,20,11,6,13.67,7.5,11,8.33
26,5,21.4,8.8,5.8,13.2,11.6,11.8,9.4
28,2,23.5,10.5,4.5,14,11.5,14,15.5
30,2,25,14.5,4.5,10,6.5,13,9
